nohup: ignoring input
experiment: HUVEC pseknc-new_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=58, TN=2996, FP=44, FN=94; precision=0.569, recall=0.382
[fit 69/150] END max_depth=68; total=3192, TP=65, TN=3011, FP=29, FN=87; precision=0.691, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.709) f1: (test=0.528) roc_auc: (test=0.884) 1.45min
[fit 70/150] END max_depth=69; total=3192, TP=63, TN=3010, FP=30, FN=89; precision=0.677, recall=0.414
accuracy: (test=0.963) average_precision: (test=0.576) balanced_accuracy: (test=0.702) f1: (test=0.514) roc_auc: (test=0.893) 1.47min
[fit 71/150] END max_depth=70; total=3192, TP=69, TN=3009, FP=31, FN=83; precision=0.690, recall=0.454
accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.722) f1: (test=0.548) roc_auc: (test=0.898) 1.46min
[fit 72/150] END max_depth=71; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.563) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.892) 1.44min
[fit 73/150] END max_depth=72; total=3192, TP=64, TN=3014, FP=26, FN=88; precision=0.711, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.706) f1: (test=0.529) roc_auc: (test=0.887) 1.49min
[fit 74/150] END max_depth=73; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.583) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.897) 1.46min
[fit 75/150] END max_depth=74; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.565) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.882) 1.46min
[fit 76/150] END max_depth=75; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.577) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.894) 1.46min
[fit 77/150] END max_depth=76; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.900) 1.45min
[fit 78/150] END max_depth=77; total=3192, TP=67, TN=3009, FP=31, FN=85; precision=0.684, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.715) f1: (test=0.536) roc_auc: (test=0.890) 1.48min
[fit 79/150] END max_depth=78; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.577) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.893) 1.47min
[fit 80/150] END max_depth=79; total=3192, TP=66, TN=3013, FP=27, FN=86; precision=0.710, recall=0.434
accuracy: (test=0.965) average_precision: (test=0.574) balanced_accuracy: (test=0.713) f1: (test=0.539) roc_auc: (test=0.902) 1.45min
[fit 81/150] END max_depth=80; total=3192, TP=65, TN=3010, FP=30, FN=87; precision=0.684, recall=0.428
accuracy: (test=0.963) average_precision: (test=0.575) balanced_accuracy: (test=0.709) f1: (test=0.526) roc_auc: (test=0.894) 1.45min
[fit 82/150] END max_depth=81; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.574) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.895) 1.42min
[fit 83/150] END max_depth=82; total=3192, TP=65, TN=3011, FP=29, FN=87; precision=0.691, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.564) balanced_accuracy: (test=0.709) f1: (test=0.528) roc_auc: (test=0.887) 1.48min
[fit 84/150] END max_depth=83; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.562) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.889) 1.46min
[fit 85/150] END max_depth=84; total=3192, TP=68, TN=3013, FP=27, FN=84; precision=0.716, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.719) f1: (test=0.551) roc_auc: (test=0.886) 1.45min
[fit 86/150] END max_depth=85; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.885) 1.46min
[fit 87/150] END max_depth=86; total=3192, TP=66, TN=3009, FP=31, FN=86; precision=0.680, recall=0.434
accuracy: (test=0.963) average_precision: (test=0.572) balanced_accuracy: (test=0.712) f1: (test=0.530) roc_auc: (test=0.897) 1.45min
[fit 88/150] END max_depth=87; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.890) 1.45min
[fit 89/150] END max_depth=88; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.888) 1.45min
[fit 90/150] END max_depth=89; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.892) 1.44min
[fit 91/150] END max_depth=90; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.901) 1.47min
[fit 92/150] END max_depth=91; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.574) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.894) 1.45min
[fit 93/150] END max_depth=92; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.892) 1.61min
[fit 94/150] END max_depth=93; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.577) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.899) 1.62min
[fit 95/150] END max_depth=94; total=3192, TP=66, TN=3009, FP=31, FN=86; precision=0.680, recall=0.434
accuracy: (test=0.963) average_precision: (test=0.562) balanced_accuracy: (test=0.712) f1: (test=0.530) roc_auc: (test=0.886) 1.64min
[fit 96/150] END max_depth=95; total=3192, TP=67, TN=3009, FP=31, FN=85; precision=0.684, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.715) f1: (test=0.536) roc_auc: (test=0.890) 1.65min
[fit 97/150] END max_depth=96; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.883) 1.64min
[fit 98/150] END max_depth=97; total=3192, TP=64, TN=3011, FP=29, FN=88; precision=0.688, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.571) balanced_accuracy: (test=0.706) f1: (test=0.522) roc_auc: (test=0.886) 1.64min
[fit 99/150] END max_depth=98; total=3192, TP=70, TN=3014, FP=26, FN=82; precision=0.729, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.571) balanced_accuracy: (test=0.726) f1: (test=0.565) roc_auc: (test=0.902) 1.63min
[fit 100/150] END max_depth=99; total=3192, TP=69, TN=3013, FP=27, FN=83; precision=0.719, recall=0.454
accuracy: (test=0.966) average_precision: (test=0.578) balanced_accuracy: (test=0.723) f1: (test=0.556) roc_auc: (test=0.895) 1.64min
[fit 101/150] END max_depth=100; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.895) 1.62min
[fit 102/150] END max_depth=101; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.580) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.898) 1.62min
[fit 103/150] END max_depth=102; total=3192, TP=65, TN=3011, FP=29, FN=87; precision=0.691, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.562) balanced_accuracy: (test=0.709) f1: (test=0.528) roc_auc: (test=0.892) 1.62min
[fit 104/150] END max_depth=103; total=3192, TP=68, TN=3008, FP=32, FN=84; precision=0.680, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.718) f1: (test=0.540) roc_auc: (test=0.894) 1.62min
[fit 105/150] END max_depth=104; total=3192, TP=66, TN=3013, FP=27, FN=86; precision=0.710, recall=0.434
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.713) f1: (test=0.539) roc_auc: (test=0.898) 1.63min
[fit 106/150] END max_depth=105; total=3192, TP=63, TN=3010, FP=30, FN=89; precision=0.677, recall=0.414
accuracy: (test=0.963) average_precision: (test=0.561) balanced_accuracy: (test=0.702) f1: (test=0.514) roc_auc: (test=0.887) 1.64min
[fit 107/150] END max_depth=106; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.895) 1.64min
[fit 108/150] END max_depth=107; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.891) 1.63min
[fit 109/150] END max_depth=108; total=3192, TP=68, TN=3013, FP=27, FN=84; precision=0.716, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.719) f1: (test=0.551) roc_auc: (test=0.894) 1.64min
[fit 110/150] END max_depth=109; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.571) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.893) 1.65min
[fit 111/150] END max_depth=110; total=3192, TP=65, TN=3010, FP=30, FN=87; precision=0.684, recall=0.428
accuracy: (test=0.963) average_precision: (test=0.575) balanced_accuracy: (test=0.709) f1: (test=0.526) roc_auc: (test=0.893) 1.63min
[fit 112/150] END max_depth=111; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.901) 1.63min
[fit 113/150] END max_depth=112; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.567) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.894) 1.63min
[fit 114/150] END max_depth=113; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.897) 1.64min
[fit 115/150] END max_depth=114; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.888) 1.64min
[fit 116/150] END max_depth=115; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.557) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.882) 1.64min
[fit 117/150] END max_depth=116; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.578) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.888) 1.63min
[fit 118/150] END max_depth=117; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.570) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.886) 1.62min
[fit 119/150] END max_depth=118; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.897) 1.62min
[fit 120/150] END max_depth=119; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.557) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.892) 1.62min
[fit 121/150] END max_depth=120; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.893) 1.62min
[fit 122/150] END max_depth=121; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.891) 1.62min
[fit 123/150] END max_depth=122; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.891) 1.62min
[fit 124/150] END max_depth=123; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.891) 1.64min
[fit 125/150] END max_depth=124; total=3192, TP=70, TN=3011, FP=29, FN=82; precision=0.707, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.725) f1: (test=0.558) roc_auc: (test=0.890) 1.63min
[fit 126/150] END max_depth=125; total=3192, TP=69, TN=3010, FP=30, FN=83; precision=0.697, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.722) f1: (test=0.550) roc_auc: (test=0.892) 1.64min
[fit 127/150] END max_depth=126; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.894) 1.62min
[fit 128/150] END max_depth=127; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.571) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.889) 1.63min
[fit 129/150] END max_depth=128; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.890) 1.63min
[fit 130/150] END max_depth=129; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.883) 1.63min
[fit 131/150] END max_depth=130; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.577) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.893) 1.63min
[fit 132/150] END max_depth=131; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.891) 1.63min
[fit 133/150] END max_depth=132; total=3192, TP=70, TN=3011, FP=29, FN=82; precision=0.707, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.725) f1: (test=0.558) roc_auc: (test=0.896) 1.64min
[fit 134/150] END max_depth=133; total=3192, TP=68, TN=3009, FP=31, FN=84; precision=0.687, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.719) f1: (test=0.542) roc_auc: (test=0.883) 1.62min
[fit 135/150] END max_depth=134; total=3192, TP=66, TN=3013, FP=27, FN=86; precision=0.710, recall=0.434
accuracy: (test=0.965) average_precision: (test=0.565) balanced_accuracy: (test=0.713) f1: (test=0.539) roc_auc: (test=0.895) 1.63min
[fit 136/150] END max_depth=135; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.570) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.890) 1.62min
[fit 137/150] END max_depth=136; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.902) 1.63min
[fit 138/150] END max_depth=137; total=3192, TP=64, TN=3010, FP=30, FN=88; precision=0.681, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.572) balanced_accuracy: (test=0.706) f1: (test=0.520) roc_auc: (test=0.883) 1.65min
[fit 139/150] END max_depth=138; total=3192, TP=64, TN=3009, FP=31, FN=88; precision=0.674, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.567) balanced_accuracy: (test=0.705) f1: (test=0.518) roc_auc: (test=0.887) 1.63min
[fit 140/150] END max_depth=139; total=3192, TP=67, TN=3007, FP=33, FN=85; precision=0.670, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.575) balanced_accuracy: (test=0.715) f1: (test=0.532) roc_auc: (test=0.897) 1.62min
[fit 141/150] END max_depth=140; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.894) 1.61min
[fit 142/150] END max_depth=141; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.889) 1.62min
[fit 143/150] END max_depth=142; total=3192, TP=64, TN=3012, FP=28, FN=88; precision=0.696, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.564) balanced_accuracy: (test=0.706) f1: (test=0.525) roc_auc: (test=0.892) 1.61min
[fit 144/150] END max_depth=143; total=3192, TP=70, TN=3011, FP=29, FN=82; precision=0.707, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.570) balanced_accuracy: (test=0.725) f1: (test=0.558) roc_auc: (test=0.889) 1.63min
[fit 145/150] END max_depth=144; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.574) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.899) 1.63min
[fit 146/150] END max_depth=145; total=3192, TP=66, TN=3009, FP=31, FN=86; precision=0.680, recall=0.434
accuracy: (test=0.963) average_precision: (test=0.570) balanced_accuracy: (test=0.712) f1: (test=0.530) roc_auc: (test=0.892) 1.62min
[fit 147/150] END max_depth=146; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.571) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.892) 1.62min
[fit 148/150] END max_depth=147; total=3192, TP=65, TN=3014, FP=26, FN=87; precision=0.714, recall=0.428
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.710) f1: (test=0.535) roc_auc: (test=0.899) 1.62min
[fit 149/150] END max_depth=148; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.578) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.902) 1.62min
[fit 150/150] END max_depth=149; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.889) 1.61min
clf.best_estimator_params: {'max_depth': 42}
best params found in line [44] for metric [roc_auc] in rank file
best params found in fit [43] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3192) TP: (test=65.000) TN: (test=3012.000) FP: (test=28.000) FN: (test=87.000) precision: (test=0.699) recall: (test=0.428) accuracy: (test=0.964) average_precision: (test=0.581) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.904) ]
write rank test to csv!!!
../../ex/epivan/base/pseknc-new_rf_base/rank/HUVEC_pseknc-new_rf_base_rank_2_3070.csv write over!!!
第三次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 42, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 310, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 90 fits
[fit 1/90] END min_samples_leaf=1, min_samples_split=2; total=3192, TP=67, TN=3008, FP=32, FN=85; precision=0.677, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.570) balanced_accuracy: (test=0.715) f1: (test=0.534) roc_auc: (test=0.894) 1.61min
[fit 2/90] END min_samples_leaf=1, min_samples_split=3; total=3192, TP=67, TN=3007, FP=33, FN=85; precision=0.670, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.565) balanced_accuracy: (test=0.715) f1: (test=0.532) roc_auc: (test=0.891) 1.62min
[fit 3/90] END min_samples_leaf=1, min_samples_split=4; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.898) 1.61min
[fit 4/90] END min_samples_leaf=1, min_samples_split=5; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.574) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.893) 1.61min
[fit 5/90] END min_samples_leaf=1, min_samples_split=6; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.572) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.884) 1.61min
[fit 6/90] END min_samples_leaf=1, min_samples_split=7; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.893) 1.61min
[fit 7/90] END min_samples_leaf=1, min_samples_split=8; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.887) 1.62min
[fit 8/90] END min_samples_leaf=1, min_samples_split=9; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.889) 1.62min
[fit 9/90] END min_samples_leaf=1, min_samples_split=10; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.567) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.886) 1.61min
[fit 10/90] END min_samples_leaf=2, min_samples_split=2; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.566) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.894) 1.58min
[fit 11/90] END min_samples_leaf=2, min_samples_split=3; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.881) 1.57min
[fit 12/90] END min_samples_leaf=2, min_samples_split=4; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.886) 1.59min
[fit 13/90] END min_samples_leaf=2, min_samples_split=5; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.573) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.897) 1.58min
[fit 14/90] END min_samples_leaf=2, min_samples_split=6; total=3192, TP=69, TN=3010, FP=30, FN=83; precision=0.697, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.557) balanced_accuracy: (test=0.722) f1: (test=0.550) roc_auc: (test=0.888) 1.58min
[fit 15/90] END min_samples_leaf=2, min_samples_split=7; total=3192, TP=67, TN=3009, FP=31, FN=85; precision=0.684, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.715) f1: (test=0.536) roc_auc: (test=0.903) 1.57min
[fit 16/90] END min_samples_leaf=2, min_samples_split=8; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.561) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.887) 1.47min
[fit 17/90] END min_samples_leaf=2, min_samples_split=9; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.559) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.900) 1.44min
[fit 18/90] END min_samples_leaf=2, min_samples_split=10; total=3192, TP=68, TN=3006, FP=34, FN=84; precision=0.667, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.572) balanced_accuracy: (test=0.718) f1: (test=0.535) roc_auc: (test=0.896) 1.44min
[fit 19/90] END min_samples_leaf=3, min_samples_split=2; total=3192, TP=68, TN=3006, FP=34, FN=84; precision=0.667, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.561) balanced_accuracy: (test=0.718) f1: (test=0.535) roc_auc: (test=0.886) 1.41min
[fit 20/90] END min_samples_leaf=3, min_samples_split=3; total=3192, TP=70, TN=3010, FP=30, FN=82; precision=0.700, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.558) balanced_accuracy: (test=0.725) f1: (test=0.556) roc_auc: (test=0.889) 1.41min
[fit 21/90] END min_samples_leaf=3, min_samples_split=4; total=3192, TP=69, TN=3005, FP=35, FN=83; precision=0.663, recall=0.454
